%% Expected Wait Time

@relation expected_wait_time

@attribute processName {Expense}
@attribute category {Airfare,Mobile,CarRental,Food}
@attribute amount numeric
@attribute hasAttachment {TRUE,FALSE}
@attribute priority numeric
@attribute outcome numeric

@data
Expense,Food,58907,TRUE,1,3
Expense,Airfare,50400,TRUE,2,6
Expense,Mobile,49854,TRUE,3,5
Expense,Mobile,113950,FALSE,1,8
Expense,CarRental,11061,FALSE,2,4
Expense,Food,262731,TRUE,3,8
Expense,Mobile,355330,TRUE,1,4
Expense,Mobile,98506,TRUE,2,6
Expense,Airfare,355196,FALSE,3,9
Expense,Airfare,128448,FALSE,1,8
Expense,Mobile,343438,TRUE,2,8
Expense,Mobile,359018,TRUE,3,8
Expense,CarRental,403477,TRUE,1,4
Expense,Food,270331,FALSE,2,9
Expense,Airfare,288568,FALSE,3,9
Expense,Food,402711,TRUE,1,4
Expense,Airfare,175996,TRUE,2,8
Expense,Airfare,111844,TRUE,3,7
Expense,Food,206939,FALSE,1,9
Expense,CarRental,62805,FALSE,2,7
Expense,CarRental,321325,TRUE,3,8
Expense,Airfare,249336,TRUE,1,4
Expense,Mobile,149238,TRUE,2,7
Expense,CarRental,458625,FALSE,3,9
Expense,CarRental,314393,FALSE,1,9
Expense,Food,366187,TRUE,2,8
Expense,CarRental,312333,TRUE,3,8
Expense,Airfare,41124,TRUE,1,2
Expense,Food,416711,FALSE,2,9
Expense,Airfare,99856,FALSE,3,7
Expense,Mobile,241778,TRUE,1,4
Expense,Mobile,241174,TRUE,2,8
Expense,Mobile,89190,TRUE,3,6
Expense,Mobile,159714,FALSE,1,9
Expense,Mobile,352874,FALSE,2,9
Expense,CarRental,135021,TRUE,3,7
Expense,CarRental,320285,TRUE,1,4
Expense,Airfare,326996,TRUE,2,8
Expense,CarRental,80833,FALSE,3,7
Expense,Airfare,194036,FALSE,1,9
Expense,Food,486155,TRUE,2,8
Expense,Food,428199,TRUE,3,8
Expense,CarRental,158337,TRUE,1,4
Expense,Food,364099,FALSE,2,9
Expense,Airfare,123340,FALSE,3,8
Expense,Mobile,334026,TRUE,1,4
Expense,Mobile,224086,TRUE,2,8
Expense,Mobile,300426,TRUE,3,8
Expense,CarRental,283977,FALSE,1,9
Expense,Food,13447,FALSE,2,4
Expense,Food,480815,TRUE,3,8
Expense,Food,124531,TRUE,1,3
Expense,CarRental,494205,TRUE,2,8
Expense,CarRental,360601,FALSE,3,9
Expense,CarRental,171317,FALSE,1,9
Expense,Food,194951,TRUE,2,8
Expense,Airfare,465144,TRUE,3,8
Expense,Mobile,425178,TRUE,1,4
Expense,Airfare,133732,FALSE,2,8
Expense,Mobile,229658,FALSE,3,9
Expense,Mobile,179046,TRUE,1,4
Expense,Mobile,391266,TRUE,2,8
Expense,Airfare,289680,TRUE,3,8
Expense,Airfare,86924,FALSE,1,7
Expense,CarRental,181913,FALSE,2,9
Expense,Food,465839,TRUE,3,8
Expense,Mobile,248742,TRUE,1,4
Expense,Food,73107,TRUE,2,6
Expense,Airfare,323416,FALSE,3,9
Expense,Food,474791,FALSE,1,9
Expense,Mobile,247406,TRUE,2,8
Expense,Food,165043,TRUE,3,8
Expense,CarRental,175297,TRUE,1,4
Expense,Mobile,123450,FALSE,2,8
Expense,CarRental,82181,FALSE,3,7
Expense,Airfare,425208,TRUE,1,4
Expense,Airfare,67928,TRUE,2,6
Expense,CarRental,197853,TRUE,3,8
Expense,Food,161043,FALSE,1,9
Expense,CarRental,234321,FALSE,2,9
Expense,CarRental,449657,TRUE,3,8
Expense,Food,487707,TRUE,1,4
Expense,CarRental,497225,TRUE,2,8
Expense,CarRental,134889,FALSE,3,8
Expense,Mobile,260806,FALSE,1,9
Expense,Mobile,108362,TRUE,2,7
Expense,Airfare,48196,TRUE,3,5
Expense,Food,453099,TRUE,1,4
Expense,Mobile,141514,FALSE,2,8
Expense,Mobile,276954,FALSE,3,9
Expense,Airfare,229260,TRUE,1,4
Expense,CarRental,102089,TRUE,2,7
Expense,Food,350179,TRUE,3,8
Expense,Mobile,379918,FALSE,1,9
Expense,CarRental,277001,FALSE,2,9
Expense,Airfare,340920,TRUE,3,8
Expense,Airfare,46432,TRUE,1,2
Expense,Mobile,416702,TRUE,2,8
Expense,Airfare,406392,FALSE,3,9
Expense,Mobile,488454,FALSE,1,9
Expense,Mobile,24382,TRUE,2,4
Expense,Mobile,343654,TRUE,3,8
Expense,Mobile,317766,TRUE,1,4
Expense,Food,264447,FALSE,2,9
Expense,Airfare,70052,FALSE,3,7
Expense,Mobile,188886,TRUE,1,4
Expense,CarRental,97237,TRUE,2,6
Expense,CarRental,345637,TRUE,3,8
Expense,CarRental,9189,FALSE,1,3
Expense,Mobile,405138,FALSE,2,9
Expense,Food,111915,TRUE,3,7
Expense,Food,216023,TRUE,1,4
Expense,Food,274607,TRUE,2,8
Expense,Food,49727,FALSE,3,6
Expense,Mobile,192430,FALSE,1,9
Expense,Food,424683,TRUE,2,8
Expense,Mobile,72898,TRUE,3,6
Expense,Airfare,36484,TRUE,1,2
Expense,Food,483319,FALSE,2,9
Expense,Mobile,370802,FALSE,3,9
Expense,Food,470447,TRUE,1,4
Expense,Airfare,68336,TRUE,2,6
Expense,CarRental,330009,TRUE,3,8
Expense,Airfare,173108,FALSE,1,9
Expense,Food,483019,FALSE,2,9
Expense,Mobile,357250,TRUE,3,8
Expense,Food,490211,TRUE,1,4
Expense,Food,63603,TRUE,2,6
Expense,Mobile,414898,FALSE,3,9
Expense,Food,155351,FALSE,1,9
Expense,CarRental,329217,TRUE,2,8
Expense,CarRental,422721,TRUE,3,8
Expense,Airfare,40216,TRUE,1,2
Expense,Food,298311,FALSE,2,9
Expense,Mobile,255702,FALSE,3,9
Expense,Mobile,405690,TRUE,1,4
Expense,Airfare,256392,TRUE,2,8
Expense,Airfare,108100,TRUE,3,7
Expense,Food,63207,FALSE,1,7
Expense,CarRental,429337,FALSE,2,9
Expense,Food,82675,TRUE,3,6
Expense,Food,380211,TRUE,1,4
Expense,Mobile,77274,TRUE,2,6
Expense,Mobile,6014,FALSE,3,3
Expense,CarRental,429897,FALSE,1,9
Expense,Airfare,189220,TRUE,2,8
Expense,CarRental,455705,TRUE,3,8
Expense,Mobile,185186,TRUE,1,4
Expense,Mobile,154502,FALSE,2,9
Expense,Airfare,364244,FALSE,3,9
Expense,Mobile,218878,TRUE,1,4
Expense,Airfare,21200,TRUE,2,4
Expense,CarRental,261269,TRUE,3,8
Expense,Food,88655,FALSE,1,7
Expense,CarRental,431477,FALSE,2,9
Expense,CarRental,160329,TRUE,3,8
Expense,Food,55407,TRUE,1,3
Expense,CarRental,45157,TRUE,2,5
Expense,Food,122763,FALSE,3,8
Expense,Mobile,236458,FALSE,1,9
Expense,Mobile,11366,TRUE,2,3
Expense,Airfare,447900,TRUE,3,8
Expense,Airfare,235652,TRUE,1,4
Expense,Mobile,118206,FALSE,2,8
Expense,CarRental,54333,FALSE,3,7
Expense,Airfare,394992,TRUE,1,4
Expense,Mobile,484866,TRUE,2,8
Expense,Mobile,150338,TRUE,3,8
Expense,Food,407359,FALSE,1,9
Expense,Airfare,447048,FALSE,2,9
Expense,Mobile,479914,TRUE,3,8
Expense,Mobile,463378,TRUE,1,4
Expense,CarRental,239625,TRUE,2,8
Expense,Airfare,168900,FALSE,3,9
Expense,Mobile,58402,FALSE,1,7
Expense,Food,25223,TRUE,2,4
Expense,CarRental,13305,TRUE,3,3
Expense,Airfare,390292,TRUE,1,4
Expense,Airfare,425460,FALSE,2,9
Expense,Mobile,33518,FALSE,3,6
Expense,Airfare,324988,TRUE,1,4
Expense,Mobile,22866,TRUE,2,4
Expense,Mobile,117174,TRUE,3,7
Expense,CarRental,493585,FALSE,1,9
Expense,Mobile,55118,FALSE,2,7
Expense,Airfare,371540,TRUE,3,8
Expense,Airfare,331972,TRUE,1,4
Expense,Airfare,195544,TRUE,2,8
Expense,Mobile,263518,FALSE,3,9
Expense,CarRental,180029,FALSE,1,9
Expense,Airfare,100800,TRUE,2,7
Expense,Airfare,484196,TRUE,3,8
Expense,CarRental,281429,TRUE,1,4
Expense,CarRental,250725,FALSE,2,9
Expense,Airfare,424792,FALSE,3,9
Expense,CarRental,297885,TRUE,1,4
Expense,CarRental,204677,TRUE,2,8
Expense,Mobile,94758,TRUE,3,6
Expense,CarRental,118273,FALSE,1,8
Expense,Food,234307,FALSE,2,9
Expense,CarRental,222165,TRUE,3,8
Expense,Food,22315,TRUE,1,2
Expense,Food,476011,TRUE,2,8
Expense,Food,72275,FALSE,3,7
Expense,Mobile,391114,FALSE,1,9
Expense,Food,321671,TRUE,2,8
Expense,Mobile,432626,TRUE,3,8
Expense,CarRental,219497,TRUE,1,4
Expense,Food,119479,FALSE,2,8
Expense,Airfare,304856,FALSE,3,9
Expense,Airfare,78304,TRUE,1,3
Expense,Airfare,359688,TRUE,2,8
Expense,Airfare,457224,TRUE,3,8
Expense,Mobile,480566,FALSE,1,9
Expense,Food,171567,FALSE,2,9
Expense,Airfare,300000,TRUE,3,8
Expense,CarRental,376081,TRUE,1,4
Expense,Food,91711,TRUE,2,6
Expense,Airfare,221124,FALSE,3,9
Expense,Food,463515,FALSE,1,9
Expense,CarRental,397801,TRUE,2,8
Expense,Food,6019,TRUE,3,2
Expense,CarRental,347889,TRUE,1,4
Expense,Mobile,433854,FALSE,2,9
Expense,CarRental,374249,FALSE,3,9
Expense,Airfare,404368,TRUE,1,4
Expense,Food,366719,TRUE,2,8
Expense,Airfare,225320,TRUE,3,8
Expense,Mobile,80006,FALSE,1,7
Expense,Airfare,362284,FALSE,2,9
Expense,Mobile,322082,TRUE,3,8
Expense,Food,393007,TRUE,1,4
Expense,Mobile,40078,TRUE,2,5
Expense,Airfare,337484,FALSE,3,9
Expense,CarRental,89313,FALSE,1,7
Expense,CarRental,452277,TRUE,2,8
Expense,Mobile,334914,TRUE,3,8
Expense,CarRental,431945,TRUE,1,4
Expense,CarRental,178809,FALSE,2,9
Expense,CarRental,430817,FALSE,3,9
Expense,Airfare,491056,TRUE,1,4
Expense,Food,422587,TRUE,2,8
Expense,Food,474595,TRUE,3,8
Expense,CarRental,158165,FALSE,1,9
Expense,Mobile,21402,FALSE,2,5
Expense,Airfare,343516,TRUE,3,8
Expense,Food,397671,TRUE,1,4
Expense,Airfare,491932,TRUE,2,8
Expense,Food,72711,FALSE,3,7
Expense,Airfare,269360,FALSE,1,9
Expense,Mobile,16902,TRUE,2,3
Expense,Airfare,177608,TRUE,3,8
Expense,CarRental,350845,TRUE,1,4
Expense,Food,355287,FALSE,2,9
Expense,Food,104579,FALSE,3,8
Expense,Food,218871,TRUE,1,4
Expense,Food,137363,TRUE,2,7
Expense,Mobile,214450,TRUE,3,8
Expense,Mobile,195286,FALSE,1,9
Expense,Food,180867,FALSE,2,9
Expense,CarRental,316213,TRUE,3,8
Expense,Airfare,286524,TRUE,1,4
Expense,Mobile,346850,TRUE,2,8
Expense,Food,142531,FALSE,3,8
Expense,CarRental,455829,FALSE,1,9
Expense,Mobile,155606,TRUE,2,8
Expense,Mobile,274,TRUE,3,1
Expense,Mobile,291690,TRUE,1,4
Expense,Airfare,477660,FALSE,2,9
Expense,Food,213831,FALSE,3,9
Expense,CarRental,48169,TRUE,1,2
Expense,Mobile,448518,TRUE,2,8
Expense,Mobile,238190,TRUE,3,8
Expense,Mobile,18370,FALSE,1,4
Expense,Food,276267,FALSE,2,9
Expense,CarRental,124941,TRUE,3,7
Expense,Mobile,491050,TRUE,1,4
Expense,CarRental,451785,TRUE,2,8
Expense,Airfare,220568,FALSE,3,9
Expense,CarRental,82201,FALSE,1,7
Expense,Food,232919,TRUE,2,8
Expense,Mobile,269526,TRUE,3,8
Expense,Mobile,252750,TRUE,1,4
Expense,Food,292683,FALSE,2,9
Expense,CarRental,249073,FALSE,3,9
Expense,Food,220067,TRUE,1,4
